route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
5,522 SIL,[@1.0.241557723@][1749187136313]/314__522_SIL,shape_81,,,1,522 SIL
5,522 SA bis 13.09.25,[@1.0.241557723@][1749187136313]/314__522_SA_bis_13.09.25,shape_81,,,1,522 SA bis 13.09.25
5,7057548 DO SF/WF bis 11.09.25[2025-8-7],[@1.0.241557723@][1749187136313]/315__7057548_DO_SF/WF_bis_11.09.25[2025-8-7],shape_81,,,1,7057548 DO SF/WF bis 11.09.25[2025-8-7]
5,7057008[2025-9-16],[@1.0.241557723@][1749187136313]/315__7057008[2025-9-16],shape_81,,,1,7057008[2025-9-16]
5,7057558 SF/WF bis 15.09.25[2025-8-1],[@1.0.241557723@][1749187136313]/315__7057558_SF/WF_bis_15.09.25[2025-8-1],shape_81,,,1,7057558 SF/WF bis 15.09.25[2025-8-1]
5,7057048 DO[2025-9-18],[@1.0.241557723@][1749187136313]/315__7057048_DO[2025-9-18],shape_81,,,1,7057048 DO[2025-9-18]
5,7057558 SF/WF,[@1.0.241557723@][1749187136313]/315__7057558_SF/WF,shape_81,,,1,7057558 SF/WF
5,7057559 SF/WF bis 15.09.25,[@1.0.241557723@][1749187136313]/316__7057559_SF/WF_bis_15.09.25,shape_81,,,1,7057559 SF/WF bis 15.09.25
5,7050022,[@1.0.241557723@][1749187136313]/316__7050022,shape_81,,,1,7050022
5,7050022[2025-9-16],[@1.0.241557723@][1749187136313]/316__7050022[2025-9-16],shape_81,,,1,7050022[2025-9-16]
5,7057559 SF/WF,[@1.0.241557723@][1749187136313]/316__7057559_SF/WF,shape_81,,,1,7057559 SF/WF
5,7024701 SO,[@1.0.241557723@][1749187136313]/317__7024701_SO,shape_81,,,1,7024701 SO
5,511 SO,[@1.0.241557723@][1749187136313]/318__511_SO,shape_99,,,1,511 SO
5,7057605 SA[2025-9-20],[@1.0.241557723@][1749187136313]/319__7057605_SA[2025-9-20],shape_81,,,1,7057605 SA[2025-9-20]
5,7057605 SA,[@1.0.241557723@][1749187136313]/319__7057605_SA,shape_81,,,1,7057605 SA
5,7057605 SA bis 13.09.25[2025-8-2],[@1.0.241557723@][1749187136313]/319__7057605_SA_bis_13.09.25[2025-8-2],shape_81,,,1,7057605 SA bis 13.09.25[2025-8-2]
5,7057605 SIL,[@1.0.241557723@][1749187136313]/319__7057605_SIL,shape_81,,,1,7057605 SIL
5,501 HA,[@1.0.241557723@][1749187136313]/32__501_HA,shape_276,Weichs/DEZ,,0,501 HA
5,501 SIL,[@1.0.241557723@][1749187136313]/32__501_SIL,shape_276,Weichs/DEZ,,0,501 SIL
